Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London ,Date,Link,Identification- DOI/URL/ISBN/Reference no.,  Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Policy Sources////Citations ( from Overton) ,Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes) ,Funder 1,Funder 2,Funder 3,Source,Output type
Real Contracts and Mistaken Wages: The Organisation of Work and Pay in London Building Trades 1650-1800,,,,,10.2139/ssrn.2723977,Stephenson JZ,,,,,,,,,,,,,,,,,RPS,Working/Discussion Paper
"The Challenges to implementing circular experiments in London, Working Paper 5:  Circular Cities Series",,,,,,"Williams J, Hintz J",,,,,,,,,,,,,,,,,RPS,Working/Discussion Paper
"Circular Transformations in London – barriers and drivers for scaling-up across 11 London experiments, Working Paper 3:  Circular Cities Series.",,,,,,"Williams J, Hintz J",,,,,,,,,,,,,,,,,RPS,Working/Discussion Paper
DIVERCITIES: Dealing with Urban Diversity: The case of London,Dealing with Urban Diversity,London,2017,https://www.researchgate.net/publication/327108224_DIVERCITIES_Dealing_with_Urban_Diversity_The_case_of_London,https://www.researchgate.net/publication/327108224_DIVERCITIES_Dealing_with_Urban_Diversity_The_case_of_London,"Raco M, Kesten J, Colomb C, Moreira de Souza",,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This book is one of the outcomes of the DIVERCITIES project. It focuses on the question of how to create social cohesion, social mobility and economic performance in today’s hyperdiversified cities. The project’s central hypothesis is that urban diversity is an asset that can inspire creativity, innovation and make cities more liveable and harmonious.",,,,,,,,,,,,,RPS,Book
Queer Premises: LGBT+ Venues in London Since the 1980s,LGBT+ Venues in London Since the 1980s,London,2023,https://www.bloomsbury.com/uk/queer-premises-9781350324879/,9.78135E+12,Campkin B,,,"UCL Urban Laboratory (51.52537536621094,-0.13254199922084808)","Queer premises provide vital social and cultural infrastructure – a queer infrastructure – connecting different generations and locations, facilitating the movement of resources, across and beyond the city.

Queer Premises offers evidence for how London's diverse LGBTQ+ populations have embedded themselves into urban space, systems and resources. It sets out to understand how, across their different material dimensions, bars, cafés, nightclubs, pubs, community centres, and hybrids of these typologies, have been imagined, created and sustained. From the 1980s to the present, Campkin asks how, where, and why these venues have been established, how they operate and the purposes they serve, what challenges they face and why they close down.",,,,,,,,,,,,,RPS,Book
Mobilising Housing Histories Learning from London's Past for a Sustainable Future,Mobilising Housing Histories for a Sustainable Future,London,2017,https://www.routledge.com/Mobilising-Housing-Histories-Learning-from-Londons-Past-for-a-Sustainable-Future/Guillery-Kroll/p/book/9781859466315,9.78186E+12,"Guillery P, Kroll D",,"Kroll D, University of South Australia, (-50.2054375, 136.1073125)","Bartlett School of Architecture (51.525972,-0.132386)","The problem of creating affordable, adequate housing for a growing population is not a new one. This book, for anyone with a professional or personal interest in improving housing provision everywhere, aims to inspire by offering in-depth studies of London's housing past and seeks to provide sustainable solutions for the future by linking to wider contemporary historical and social contexts.

This book will influence today’s housing debates through showcasing lessons from the past and highlights examples that inform the present. The buildings assessed in these case studies will be measured in terms of their longevity, sustained popularity, livability, average densities and productivity.

The research and case studies from the book provide an invaluable resource for academics of architecture, urban design, sociology, history and geography as well as professionals, policy makers and journalists.",,,,,,,,,,,,,RPS,Book
"30-Second London The 50 Key Visions, Events and Architects That Shaped the City, Each Explained in Half a Minute",30-Second London,London,2017,https://books.google.co.uk/books/about/30_Second_London.html?id=z5yyDgAAQBAJ&redir_esc=y,"1782404546, 9781782404545",Denison E,,,"Bartlett School of Architecture (51.525972,-0.132386)","If you are tired of London, are you really tired of life? 30-Second London agrees with Dr. Johnson’s famous statement, taking the history of one of the most diverse cities on Earth and looking at the forces that shaped it, from the first traces of a Neanderthal settlement on the banks of the River Thames to today’s vast and varied metropolis. Along the way, readers will discover underground London, secret London, suburban London, and much more, on a revealing whistlestop city tour.",,,,,,,,,,,,,RPS,Book
"Planning, Politics and City-Making: A Case Study of King's Cross","Planning, Politics and City-Making","King's Cross (51.5323954, -0.1230224)",2016,https://www.amazon.co.uk/Planning-Politics-City-Making-Study-Kings/dp/1859466354,9.78186E+12,"Bishop P, Williams L",,,"Bartlett School of Architecture (51.525972,-0.132386)","Whilst there is extensive literature analysing the design and function of new buildings and places, the actual process through which development proposals are actually fashioned – through complex negotiation and deal making, involving many different stakeholders with different agendas – is largely undocumented. Conventional planning theory tends to assume a logical, rational and linear decision-making process, which bears little relationship to reality. This book aims to shed some light on that reality. The King’s Cross scheme is one of the largest and most complex developments taking place in Britain today. The planning negotiations, which took six years, were probably some of the most exhaustive debates around a development ever. A report of over 600 pages of technical information was eventually presented to the committee, and after two evenings and ten hours of presentations and debate, the committee approved the scheme by just two votes.",,,,,,,,,,,,,RPS,Book
Walking Cities: London,Walking Cities: London,London,2020,https://www.routledge.com/Walking-Cities-London/Joseph-Lester-King-Blier-Carruthers-Bottazzi/p/book/9780367407896,9.78037E+12,"Jaspar Joseph-Lester, Simon King, Amy Blier-Carruthers, Roberto Bottazzi","Jaspar Joseph-Lester, Simon King, RCA, (51.5011875, -0.1793125); Amy Blier-Carruthers, Royal Academy of Music, (51.5234375, -0.1516875)",,"Bartlett School of Architecture (51.525972,-0.132386)","Walking Cities: London (second edition) brings together a new interdisciplinary field of artists, writers, architects, musicians, human geographers and philosophers to consider how a city walk informs and triggers new processes of making, thinking, researching and communicating. In particular, the book examines how the city contains narratives, knowledge and contested materialities that are best accessed through the act of walking.

The varied contributions take the form of short stories, illustrated essays, personal reflections and accounts of walks both real and fictional. While artist and RCA tutor Rut Blees Luxemburg and philosopher Jean-Luc Nancy recount a nocturnal journey from Shoreditch to the City of London; architect Peter St John of the practice Caruso St John offers a detailed and personal reflection on the Holloway Road; and architect and author Douglas Murphy examines what he calls London’s ‘more politically charged locations’ in his account of a solitary walk through an area of South London. Ultimately, Walking Cities: London seeks to understand the wider significance of changing geographies to generate critical questions and creative perspectives for navigating the social and political impact of rapid urban change.",,,,,,,,,,,,,RPS,Book
"The Dinner Book of the London Drapers' Company, 1564-1602",The Dinner Book of the London Drapers' Company,"Drapers' Company (51.51506, -0.08654)",2019,https://boydellandbrewer.com/9780900952609/the-dinner-book-of-the-london-drapers-company-1564-1602/,900952601,Milne SA,,,"Bartlett School of Architecture (51.525972,-0.132386)","The Dinner Book is a rare account of a series of 36 dinners hosted by the London Drapers’ Company between 1564 and 1602. At these events, new Company leaders symbolically received corporate endorsement by participating in investiture ceremonies in front of an elite group of Company members and their selected guests. Though all in attendance enjoyed lavish spreads of food and drink, each table received varying, carefully apportioned dishes designed to ensure honour and city hierarchies were upheld.
As a compilation of incredibly detailed accounts for many consecutive years of corporate dining, the Drapers’ Company Dinner Book is extraordinary. It records the organisation of the Company’s dinners and the supply of items of food and drink, as well as the names of guests in the hall and employees in the kitchen. Food gifts sent out after the dinner are recalled comprehensively (which on one occasion consisted of 162 venison pasties). During the period covered by the Dinner Book, new trading corporations and accelerated city growth began to undermine the economic powerbase of London guilds such as the Drapers. Dinner records indicate that the City companies in the sixteenth and seventeenth centuries recognised the potential of their annual Election Dinners to reinforce the antiquity of corporate authority, inferring a mythical past as a means of legitimizing their stake in the future.",,,,,,,,,,,,,RPS,Book
Survey of London: South-East Marylebone: Part 1,Survey of London: South-East Marylebone,"Marylebone (51.5177, -0.147)",2017,https://www.amazon.co.uk/Survey-London-South-East-Marylebone-Volumes/dp/0300221975,300221975,"Philip Temple, Colin Thom, Andrew Saint",,,"Bartlett School of Architecture (51.525972,-0.132386)","Providing essential knowledge about the British capital’s built environment, these two volumes cover a large portion of the parish of St. Marylebone, bounded to the south by Oxford Street and to the north by the Marylebone Road, and stretching from just west of Marylebone High Street to the parish boundary along Cleveland Street near Tottenham Court Road to the east.  This area is rich in historic buildings and includes some of London’s most celebrated addresses, including Portland Place, Cavendish Square, and Harley Street.  Among the most important buildings covered in this superbly illustrated book are Robert and James Adam’s development of Portland Place, where the Royal Institute of British Architects’ headquarters is a notable 20th-century insertion.  Other landmarks include Marylebone Parish Church, All Saints Margaret Street and All Souls Langham Place, and the vast, recently demolished Middlesex Hospital.  In addition to new photography, this volume includes meticulous architectural drawings and detailed coverage of the topography. ",,,,,,,,,,,,,RPS,Book
Survey of London: South-East Marylebone: Part 2,Survey of London: South-East Marylebone,"Marylebone (51.5177, -0.147)",2017,https://www.amazon.co.uk/Survey-London-South-East-Marylebone-Volumes/dp/0300221975,300221975,"Philip Temple, Colin Thom, Andrew Saint",,,"Bartlett School of Architecture (51.525972,-0.132386)","Providing essential knowledge about the British capital’s built environment, these two volumes cover a large portion of the parish of St. Marylebone, bounded to the south by Oxford Street and to the north by the Marylebone Road, and stretching from just west of Marylebone High Street to the parish boundary along Cleveland Street near Tottenham Court Road to the east.  This area is rich in historic buildings and includes some of London’s most celebrated addresses, including Portland Place, Cavendish Square, and Harley Street.  Among the most important buildings covered in this superbly illustrated book are Robert and James Adam’s development of Portland Place, where the Royal Institute of British Architects’ headquarters is a notable 20th-century insertion.  Other landmarks include Marylebone Parish Church, All Saints Margaret Street and All Souls Langham Place, and the vast, recently demolished Middlesex Hospital.  In addition to new photography, this volume includes meticulous architectural drawings and detailed coverage of the topography. ",,,,,,,,,,,,,RPS,Book
